job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
Hadoop开发工程师,"数据采集,数据挖掘",北京,北京联东投资（集团）有限公司,1000-9999人,17.5,FALSE,本科
数据分析师,"数据分析,机器学习,Python,Hadoop",北京,北京爱侬养老科技发展股份有限公司,500-999人,10,TRUE,大专
数据分析师,"数据分析,数据处理,快递业务,经营赋能,终端业务",北京,京东集团,10000人以上,18,FALSE,本科
Hadoop开发工程师,数据分析,北京,北京天马时空网络技术有限公司,500-999人,35,FALSE,学历不限
Hadoop开发工程师,"数据分析,POWER BI",北京,敏捷艾科,20-99人,11.5,TRUE,大专
Hadoop开发工程师,"机器学习,大数据分析,数据建模",北京,北京可利邦信息技术有限公司,100-299人,30,FALSE,本科
数据分析师,数据分析,北京,北京创先策略信息咨询有限公司,20人以下,9,TRUE,本科
数据分析师,"行业分析,深度学习",北京,北京正元方咨询有限公司,100-299人,12.5,TRUE,大专
Hadoop开发工程师,"BI,数据分析,SQL,Python",北京,北京中科睿见科技有限公司,20-99人,10,TRUE,本科
数据分析师,"数据分析,数据挖掘,数据清洗,大数据分析",北京,北京盛业艾特科技有限公司,100-299人,9,TRUE,学历不限
数据分析师,"数据分析,数据建模,数据仓库",北京,上海凡思信息科技有限公司,1000-9999人,9,TRUE,大专
数据分析师,"数据分析,数据挖掘,数据建模,大数据分析",北京,分子互动,100-299人,12.5,TRUE,本科
数据分析师,"数据分析,大数据分析,行业分析",北京,神州方德科技有限公司c,100-299人,12.5,TRUE,大专
数据分析师,"SQL,数据分析,excel",北京,北京木丁商品信息中心,20-99人,9,TRUE,大专
数据分析师,数据分析,北京,徐州立方标牌有限公司,20-99人,17.5,FALSE,本科
数据分析师,"数据分析,需求分析,ETL,Teradata,Oracle",北京,软通动力信息技术(集团)股份有限公司,10000人以上,25,FALSE,本科
数据分析师,"数据分析,Python,数据建模,SQL,数据挖掘",北京,云智优管理咨询(北京)有限公司,100-299人,37.5,FALSE,本科
数据分析师,"数据分析,数据清洗,数据仓库,大数据分析,数据治理",北京,建囤财富金融信息服务有限公司e,100-299人,12.5,TRUE,本科
数据分析师,数据分析,北京,泰康保险集团,10000人以上,22.5,FALSE,本科
数据分析师,数据分析,北京,高晟财富控股集团有限公司,500-999人,12.5,TRUE,本科
数据分析师,数据分析,北京,北京云鹏广控信息技术有限公司,20-99人,7,TRUE,大专
数据分析师,"数据分析,商业分析,深度学习,数据架构,商业数据分析",北京,华汇亚辰资产管理有限公司h,100-299人,12.5,TRUE,大专
