id,job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary_fif,demand
50,Hadoop开发工程师,"Hadoop,Spark,Hbase,Java,Scala",北京,软通动力信息技术(集团)股份有限公司,10000人以上,12.5,TRUE,大专
51,Hadoop开发工程师,"C++,Java,Scala,Python,Ambari",北京,北京赛思信安技术股份有限公司,100-299人,12.5,TRUE,本科
52,Hadoop开发工程师,"Java,Hadoop",北京,北京鼎普科技股份有限公司,100-299人,25,FALSE,本科
53,Hadoop开发工程师,"MySQL,MongoDB,数据仓库,数据处理,数据架构",北京,中寰卫星导航通信有限公司,500-999人,22.5,FALSE,本科
54,Hadoop开发工程师,"数据仓库,Hadoop,数据库,Spark,数据库开发",北京,视野金服,20-99人,17.5,FALSE,本科
55,数据分析师,"Hadoop,Hbase,Oracle,MySQL,SQL",北京,东方国信,1000-9999人,4,TRUE,本科
56,Hadoop开发工程师,"数据处理,Linux,数据建模,数据仓库",北京,智联招聘,1000-9999人,22.5,FALSE,本科
57,Hadoop开发工程师,"Sqoop,Hadoop,ZooKeeper,Spark,Hive",北京,北京瑞友科技股份有限公司,1000-9999人,15,TRUE,本科
58,Hadoop开发工程师,"Hadoop,Hive,Spark,Hbase",北京,南京鹏德软件开发有限公司,20-99人,17.5,FALSE,本科
59,Hadoop开发工程师,"大数据开发,Hadoop,运维,分布式计算,Linux",北京,东方国信,1000-9999人,9.5,TRUE,本科
60,Hadoop开发工程师,"数据挖掘,Hadoop",北京,天宇正清科技有限公司,500-999人,17.5,FALSE,大专
61,Hadoop开发工程师,"Hadoop,Spark,Flink,MySQL,Hive",北京,博易智软(北京)技术有限公司,100-299人,25,FALSE,本科
62,Hadoop开发工程师,"数据挖掘,数据处理,数据分析,大数据开发,分布式计算",北京,三一集团,10000人以上,22.5,FALSE,本科
63,Hadoop开发工程师,"Hadoop,Hive,Spark,Java,Flink",北京,广州人瑞人力资源服务有限公司佛山分公司,500-999人,18,FALSE,本科
64,数据分析师,"Linux,Hadoop",北京,东方国信,1000-9999人,12,TRUE,本科
